Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 50 confirmed, 50 FP
  [ 52/100] FP   K07541.01    (depth=  46802 ppm) ... OK  (2s, p_dip=-0.0357, s_dip=-0.0357)
  [ 53/100] FP   K00832.01    (depth=  44791 ppm) ... OK  (2s, p_dip=-0.0432, s_dip=-0.0432)
  [ 54/100] FP   K01248.01    (depth=  41924 ppm) ... OK  (2s, p_dip=-0.0429, s_dip=-0.0429)
  [ 55/100] FP   K06062.01    (depth=  40110 ppm) ... OK  (3s, p_dip=-0.0402, s_dip=-0.0402)
  [ 56/100] FP   K06049.01    (depth=  37980 ppm) ... OK  (3s, p_dip=-0.0340, s_dip=-0.0340)
  [ 57/100] FP   K06679.01    (depth=  36700 ppm) ... OK  (3s, p_dip=-0.0346, s_dip=-0.0346)
  [ 58/100] FP   K03841.01    (depth=  33546 ppm) ... OK  (3s, p_dip=-0.0409, s_dip=-0.0409)
  [ 59/100] FP   K03719.01    (depth=  30192 ppm) ... OK  (2s, p_dip=-0.0457, s_dip=-0.0457)
  [ 60/100] FP   K01003.01    (depth=  28066 ppm) ... OK  (3s, p_dip=-0.0253, s_dip=-0.0253)
  [ 61/100] FP   K07500.01    (depth=  25302 ppm) ... OK  (2s, p_dip=-0.0290, s_dip=-0.0290)
  [ 62/100] FP   K01949.01    (depth=  24327 ppm) ... OK  (3s, p_dip=-0.0237, s_dip=-0.0237)
  [ 63/100] FP   K05086.01    (depth=  22178 ppm) ... OK  (2s, p_dip=-0.0197, s_dip=-0.0197)
  [ 64/100] FP   K00876.01    (depth=  20285 ppm) ... OK  (3s, p_dip=-0.0144, s_dip=-0.0144)
  [ 65/100] FP   K00045.01    (depth=  18887 ppm) ... OK  (3s, p_dip=-0.0194, s_dip=-0.0194)
  [ 66/100] FP   K01322.01    (depth=  16878 ppm) ... OK  (2s, p_dip=-0.0096, s_dip=-0.0096)
  [ 67/100] FP   K01178.01    (depth=  15304 ppm) ... OK  (2s, p_dip=-0.0141, s_dip=-0.0141)
  [ 68/100] FP   K06481.01    (depth=  13859 ppm) ... OK  (3s, p_dip=-0.0150, s_dip=-0.0150)
  [ 69/100] FP   K00895.01    (depth=  12861 ppm) ... OK  (2s, p_dip=-0.0126, s_dip=-0.0126)
  [ 70/100] FP   K00763.01    (depth=  11766 ppm) ... OK  (2s, p_dip=-0.0107, s_dip=-0.0107)
  [ 71/100] FP   K03882.01    (depth=  10718 ppm) ... OK  (2s, p_dip=-0.0080, s_dip=-0.0080)
  [ 72/100] FP   K00667.01    (depth=   9739 ppm) ... OK  (3s, p_dip=-0.0095, s_dip=-0.0095)
  [ 73/100] FP   K00698.01    (depth=   8379 ppm) ... OK  (2s, p_dip=-0.0040, s_dip=-0.0040)
  [ 74/100] FP   K08153.01    (depth=   7676 ppm) ... OK  (2s, p_dip=-0.0085, s_dip=-0.0085)
  [ 75/100] FP   K03760.01    (depth=   6791 ppm) ... OK  (2s, p_dip=-0.0128, s_dip=-0.0128)
  [ 76/100] FP   K01321.01    (depth=   6228 ppm) ... OK  (2s, p_dip=-0.0062, s_dip=-0.0062)
  [ 77/100] FP   K07397.01    (depth=   5880 ppm) ... OK  (2s, p_dip=-0.0082, s_dip=-0.0082)
  [ 78/100] FP   K05992.01    (depth=   5283 ppm) ... OK  (2s, p_dip=-0.0041, s_dip=-0.0041)
  [ 79/100] FP   K01182.01    (depth=   4844 ppm) ... OK  (2s, p_dip=-0.0037, s_dip=-0.0037)
