name,period_d,depth_ppm,snr,prob,pred_discovery,pred_strict,truth
TOI-6034.01,2.5761795043945312,49904.2528728,59.633221820902456,0.00926483515650034,0,0,1
TOI-4666.01,2.9093856811523438,45160.0,31.76540119836447,0.09527842700481415,0,0,1
TOI-4469.01,2.6634154319763184,37522.94895,17.065656170045113,0.008315837010741234,0,0,1
TOI-5801.01,3.0678160190582275,34536.7848173,134.50040816693976,0.15957607328891754,0,0,1
TOI-4570.01,1.9737719297409058,32350.4373939,5.8317071209153255,0.0018389339093118906,0,0,1
TOI-762.01,3.4716808795928955,30624.6434599,47.33688894639817,0.1386064738035202,0,0,1
TOI-5970.01,3.092743158340454,28695.1012159,124.64274789628895,0.24486246705055237,0,0,1
TOI-1259.01,3.4779775142669678,27021.6932424,564.0328873801302,0.35739389061927795,0,0,1
TOI-656.01,0.8134732842445374,25866.83474,206.9424948691999,0.08258023858070374,0,0,1
TOI-7683.01,1.5435056686401367,25465.6222993,7.37274690617394,0.021994495764374733,0,0,1
TOI-434.01,4.388851642608643,24964.547823,35.56432270413841,0.41794994473457336,1,0,1
TOI-5688.01,2.9479689598083496,24090.0,17.762988499269316,0.06404111534357071,0,0,1
TOI-1465.01,1.4200247526168823,23730.0,203.0255296835677,0.2959285378456116,0,0,1
TOI-5138.01,1.7292680740356445,23043.2055193,11.86021385076367,0.0045685418881475925,0,0,1
TOI-655.01,0.7888389229774475,22614.8958863,74.66908587355282,0.10167624056339264,0,0,1
TOI-1927.01,4.1117730140686035,22017.8853537,50.16606598296536,0.49077802896499634,1,0,1
TOI-2127.01,5.508068084716797,21584.7573167,81.24434353092087,0.3867230713367462,0,0,1
TOI-750.01,0.8378453254699707,21355.7850721,23.764917480462564,0.002985057421028614,0,0,1
TOI-7067.01,15.357352256774902,21072.3970721,2.7451482281359607,0.08547604084014893,0,0,1
TOI-1227.01,27.361377716064453,20690.6684294,8.008381993355774,0.7452092170715332,1,1,1
TOI-2464.01,3.768498182296753,19800.0,33.686078634168666,0.2742275893688202,0,0,1
