name,depth_ppm,truth,prob_baseline,pred_baseline,prob_norm_0.0015,pred_norm_0.0015,target_depth
TOI-6034.01,49904.2528728,1,0.00926483515650034,0,0.7878941893577576,1,0.0015
TOI-4666.01,45160.0,1,0.09527842700481415,0,0.8145920634269714,1,0.0015
TOI-4469.01,37522.94895,1,0.008315837010741234,0,0.7538147568702698,1,0.0015
TOI-5801.01,34536.7848173,1,0.15957607328891754,0,0.6480128169059753,1,0.0015
TOI-4570.01,32350.4373939,1,0.0018389339093118906,0,0.6082881689071655,1,0.0015
TOI-762.01,30624.6434599,1,0.1386064738035202,0,0.8410468697547913,1,0.0015
TOI-5970.01,28695.1012159,1,0.24486246705055237,0,0.632702648639679,1,0.0015
TOI-1259.01,27021.6932424,1,0.35739389061927795,0,0.6347213387489319,1,0.0015
TOI-656.01,25866.83474,1,0.08258023858070374,0,0.4125737249851227,1,0.0015
TOI-7683.01,25465.6222993,1,0.021994495764374733,0,0.6438331007957458,1,0.0015
TOI-434.01,24964.547823,1,0.41794994473457336,1,0.7044010758399963,1,0.0015
TOI-5688.01,24090.0,1,0.06404111534357071,0,0.7766792178153992,1,0.0015
TOI-1465.01,23730.0,1,0.2959285378456116,0,0.5228227376937866,1,0.0015
TOI-5138.01,23043.2055193,1,0.0045685418881475925,0,0.6721793413162231,1,0.0015
TOI-655.01,22614.8958863,1,0.10167624056339264,0,0.21452383697032928,0,0.0015
TOI-1927.01,22017.8853537,1,0.49077802896499634,1,0.7720128893852234,1,0.0015
TOI-2127.01,21584.7573167,1,0.3867230713367462,0,0.7178606390953064,1,0.0015
TOI-750.01,21355.7850721,1,0.002985057421028614,0,0.1521945744752884,0,0.0015
TOI-7067.01,21072.3970721,1,0.08547604084014893,0,0.6272331476211548,1,0.0015
TOI-1227.01,20690.6684294,1,0.7452092170715332,1,0.87088942527771,1,0.0015
TOI-2464.01,19800.0,1,0.2742275893688202,0,0.700343132019043,1,0.0015
TOI-398.01,19427.6944703,1,0.17330673336982727,0,0.3325698673725128,0,0.0015
TOI-2107.01,19250.0,1,0.1248091384768486,0,0.6517935395240784,1,0.0015
TOI-418.01,19058.0137423,1,0.4505394697189331,1,0.6863775253295898,1,0.0015
TOI-2406.01,18848.5607395,1,0.2462342530488968,0,0.8375967741012573,1,0.0015
TOI-3636.01,18527.6525232,1,0.24853123724460602,0,0.5866817235946655,1,0.0015
TOI-1283.01,18162.0,1,0.4864312410354614,1,0.769285261631012,1,0.0015
TOI-2503.01,17781.0520005,1,0.019075164571404457,0,0.6721222400665283,1,0.0015
TOI-423.01,17482.2328085,1,0.4580855965614319,1,0.5344772934913635,1,0.0015
TOI-7057.01,17290.4349881,1,0.13430432975292206,0,0.7152006030082703,1,0.0015
TOI-4454.01,17027.4064902,1,0.1699923574924469,0,0.7872987389564514,1,0.0015
TOI-473.01,16875.7909849,1,0.0958646610379219,0,0.4621175229549408,1,0.0015
TOI-116.01,16708.7151957,1,0.5033568143844604,1,0.593029260635376,1,0.0015
TOI-474.01,16406.5457432,1,0.1801704615354538,0,0.6325868964195251,1,0.0015
TOI-966.01,16294.3969402,1,0.5653052926063538,1,0.5996820330619812,1,0.0015
TOI-259.01,16167.1783697,1,0.32899171113967896,0,0.6563298106193542,1,0.0015
TOI-1151.01,15748.0,1,0.5360175967216492,1,0.5176852941513062,1,0.0015
TOI-2570.01,15493.9490407,1,0.3935927748680115,0,0.6392674446105957,1,0.0015
TOI-1725.01,15377.7920504,1,0.09195248037576675,0,0.09835407137870789,0,0.0015
TOI-5673.01,15270.0987848,1,0.15779638290405273,0,0.6627325415611267,1,0.0015
TOI-2818.01,15110.0,1,0.5035920739173889,1,0.6288194060325623,1,0.0015
TOI-2547.01,14975.1986739,1,0.30590271949768066,0,0.4500306248664856,1,0.0015
TOI-7056.01,14780.3009546,1,0.0919671505689621,0,0.731848955154419,1,0.0015
TOI-112.01,14621.2059647,1,0.3605319857597351,0,0.4977283477783203,1,0.0015
TOI-7512.01,14456.0192142,1,0.6053910851478577,1,0.760969877243042,1,0.0015
TOI-1910.01,14310.0,1,0.44399702548980713,1,0.8130866289138794,1,0.0015
TOI-4521.01,14228.6266087,1,0.5902262926101685,1,0.7684749364852905,1,0.0015
TOI-7491.01,14026.6940585,1,0.0600208081305027,0,0.7177463173866272,1,0.0015
TOI-437.01,13852.3979585,1,0.23554714024066925,0,0.8064294457435608,1,0.0015
TOI-6013.01,13770.1931364,1,0.41152864694595337,1,0.6292017102241516,1,0.0015
TOI-1928.01,13638.9588751,1,0.3247664272785187,0,0.49029430747032166,1,0.0015
TOI-1902.01,13450.0,1,0.26318272948265076,0,0.6326242685317993,1,0.0015
TOI-6275.01,13270.5292659,1,0.5247984528541565,1,0.7041524648666382,1,0.0015
TOI-547.01,13140.0,1,0.015289450995624065,0,0.43061068654060364,1,0.0015
TOI-2368.01,13020.075325,1,0.5268108248710632,1,0.7913160920143127,1,0.0015
TOI-6720.01,12886.987991,1,0.4855688512325287,1,0.8088269233703613,1,0.0015
TOI-501.01,12680.0,1,0.5222511291503906,1,0.48679685592651367,1,0.0015
TOI-1883.01,12522.9613662,1,0.2184511423110962,0,0.8241000175476074,1,0.0015
TOI-5672.01,12337.5570732,1,0.3013027012348175,0,0.7343559265136719,1,0.0015
TOI-752.01,12259.4473284,1,0.5608805418014526,1,0.7039284706115723,1,0.0015
TOI-111.01,12142.2238514,1,0.4179149270057678,1,0.7845070958137512,1,0.0015
TOI-5685.01,12040.0,1,0.1002536490559578,0,0.48443856835365295,1,0.0015
TOI-4531.01,11929.8619692,1,0.39012354612350464,0,0.6983569860458374,1,0.0015
TOI-1198.01,11794.0,1,0.33501750230789185,0,0.47340553998947144,1,0.0015
TOI-2338.01,11530.0,1,0.6745068430900574,1,0.7954559326171875,1,0.0015
TOI-1463.01,11426.6170088,1,0.3942965269088745,0,0.5740922093391418,1,0.0015
TOI-7719.01,11304.975042,1,0.08615624904632568,0,0.7348292469978333,1,0.0015
TOI-7497.01,11253.2758897,1,0.49121326208114624,1,0.7847962379455566,1,0.0015
TOI-2524.01,11192.4995247,1,0.5572316646575928,1,0.7944805026054382,1,0.0015
TOI-5818.01,11139.9639243,1,0.34581422805786133,0,0.5333214402198792,1,0.0015
TOI-1780.01,10980.0,1,0.41570988297462463,1,0.6448879837989807,1,0.0015
TOI-4428.01,10888.0377261,1,0.15854522585868835,0,0.570209801197052,1,0.0015
TOI-6170.01,10819.0,1,0.5347216725349426,1,0.6163772344589233,1,0.0015
TOI-6838.01,10693.4881603,1,0.16246069967746735,0,0.775856614112854,1,0.0015
TOI-1915.01,10585.2906021,1,0.2797871232032776,0,0.551600992679596,1,0.0015
