  Resuming from data/kepler_tce_2000.pt: 684 TCEs already downloaded.
Fetching Kepler target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 350 confirmed, 764 FP
  Skipping 684 already-downloaded; 430 remaining.
  [ 43/430] FP   K05980.01      (depth=   6772 ppm) ... OK  (8s, p_dip=-0.0069, s_dip=-0.0069, oe_amp=0.0001)
  [ 44/430] FP   K01224.01      (depth=   6721 ppm) ... OK  (3s, p_dip=-0.0162, s_dip=-0.0162, oe_amp=0.0001)
  [ 45/430] FP   K07440.01      (depth=   6684 ppm) ... OK  (9s, p_dip=-0.0064, s_dip=-0.0064, oe_amp=0.0002)
  [ 46/430] FP   K03734.01      (depth=   6642 ppm) ... OK  (8s, p_dip=-0.0083, s_dip=-0.0083, oe_amp=0.0003)
  [ 47/430] FP   K03304.01      (depth=   6609 ppm) ... OK  (3s, p_dip=-0.0036, s_dip=-0.0036, oe_amp=0.0003)
  [ 48/430] FP   K07331.01      (depth=   6572 ppm) ... OK  (1s, p_dip=-0.0062, s_dip=-0.0062, oe_amp=0.0006)
  [ 49/430] FP   K07170.01      (depth=   6548 ppm) ... OK  (9s, p_dip=-0.0078, s_dip=-0.0078, oe_amp=0.0063)
  [ 50/430] FP   K05985.01      (depth=   6502 ppm) ... OK  (8s, p_dip=-0.0406, s_dip=-0.0406, oe_amp=0.0007)
  [ 51/430] FP   K01076.01      (depth=   6496 ppm) ... OK  (3s, p_dip=-0.0007, s_dip=-0.0007, oe_amp=0.0004)
  [ 52/430] FP   K03756.01      (depth=   6473 ppm) ... OK  (3s, p_dip=-0.0066, s_dip=-0.0066, oe_amp=0.0009)
  [ 53/430] FP   K06124.01      (depth=   6406 ppm) ... OK  (9s, p_dip=-0.0057, s_dip=-0.0057, oe_amp=0.0002)
  [ 54/430] FP   K03784.01      (depth=   6386 ppm) ... OK  (1s, p_dip=-0.0013, s_dip=-0.0013, oe_amp=0.0005)
  [ 55/430] FP   K03718.01      (depth=   6367 ppm) ... OK  (7s, p_dip=-0.0070, s_dip=-0.0070, oe_amp=0.0020)
  [ 56/430] FP   K03780.01      (depth=   6268 ppm) ... OK  (1s, p_dip=-0.0009, s_dip=-0.0009, oe_amp=0.0004)
  [ 57/430] FP   K01321.01      (depth=   6228 ppm) ... OK  (2s, p_dip=-0.0062, s_dip=-0.0062, oe_amp=0.0015)
  [ 58/430] FP   K06261.01      (depth=   6223 ppm) ... OK  (3s, p_dip=-0.0044, s_dip=-0.0044, oe_amp=0.0020)
  [ 59/430] FP   K06941.01      (depth=   6177 ppm) ... OK  (8s, p_dip=-0.0099, s_dip=-0.0099, oe_amp=0.0002)
  [ 60/430] FP   K00132.01      (depth=   6165 ppm) ... OK  (3s, p_dip=-0.0055, s_dip=-0.0055, oe_amp=0.0002)
