kepoi_name,ss,snr
K01649.01,0,21.2
K01758.01,0,30.8
K01760.01,0,20.7
K01760.02,0,12.7
K01761.01,1,19.5
K01762.01,0,55.6
K01518.01,0,30.7
K01519.01,0,20.2
K01520.01,0,41.5
K01521.01,0,31.6
K00177.01,0,54.4
K01576.02,0,51.2
K00183.01,0,2833.1
K01576.03,0,4.5
K01577.01,0,22.4
K01578.01,0,36.8
K01579.01,0,91.2
K01650.01,0,39.6
K01651.01,0,19.6
K01654.01,1,83.5
K01655.01,0,54.4
K01656.01,0,15.4
K00195.01,0,1287.4
K01779.01,0,28.2
K01779.02,0,10.5
K01781.01,0,246.6
K01781.02,0,115.1
K01522.01,0,37.1
K01523.01,0,22.7
K01524.01,0,11.5
K01525.01,0,33.3
K01526.01,0,18.0
K01580.01,1,35.4
K01581.01,0,39.5
K01581.02,0,27.1
K01582.01,0,66.5
K01583.01,0,36.1
K01584.01,0,23.2
K00191.01,0,812.6
K01659.01,0,18.8
K01660.01,0,15.7
K01661.01,1,103.9
K01662.01,1,28.2
K01458.01,0,76.6
K00171.02,0,32.0
K01459.01,1,163.4
K01460.01,1,108.9
K01461.01,1,165.3
K01462.01,1,44.8
K01527.01,0,26.0
K01528.01,0,26.2
K01529.01,0,23.3
K01529.02,0,13.9
K01530.01,0,38.4
K00184.01,1,1640.0
K01585.01,0,34.3
K01586.01,0,36.3
K01587.01,0,51.4
K01588.01,0,52.6
K01665.01,0,20.1
K01665.02,0,2.8
K01669.01,0,40.2
K01672.01,0,23.8
K01675.01,0,25.0
K01463.01,1,1171.2
K01464.01,0,97.2
K01465.01,0,215.0
K01466.01,0,237.1
K01467.01,1,78.8
K00178.01,1,36.0
K01531.01,0,35.3
K01532.01,0,51.3
K01533.01,0,30.8
K01534.01,0,34.7
K01589.01,0,37.7
K01589.02,0,33.6
K01589.03,0,25.3
K01589.04,0,16.7
K01589.05,0,16.7
K01677.01,0,25.6
K00191.02,0,69.1
K01677.02,0,
K01680.01,0,17.1
K01681.01,0,22.9
K01683.01,0,21.7
K01468.01,0,92.8
K00172.01,0,97.9
K01469.01,1,138.4
K01470.01,0,59.7
K01471.01,0,46.0
K01534.02,0,16.6
K01535.01,0,37.7
K01536.01,0,25.4
K01537.01,0,27.6
K01538.01,1,1241.4
K01539.01,1,202.0
K01590.01,0,23.6
K00185.01,0,958.7
K01590.02,0,17.0
K01590.03,0,12.5
K01591.01,0,25.5
K01684.01,1,54.6
K01685.01,0,45.0
K01686.01,0,
K01687.01,0,30.6
K01688.01,0,27.0
K01692.01,0,126.1
K01472.01,0,142.8
K01473.01,0,97.2
K01474.01,0,300.7
K01475.01,0,35.3
K01475.02,0,31.9
K01475.03,0,14.6
K00003.01,0,862.3
K00020.01,0,3535.6
K00179.01,0,155.3
K01540.01,1,205.9
K01541.01,1,538.0
K01592.01,0,59.7
K01593.01,0,18.3
K01593.02,0,18.4
K01594.01,0,39.3
K01595.01,0,40.3
K00191.03,0,30.5
K01692.02,0,18.0
K01693.01,1,59.5
K01700.01,0,31.1
K01701.01,1,20.5
K01476.01,0,44.4
K00172.02,0,23.2
K01477.01,0,82.8
K01478.01,0,339.4
K01479.01,0,52.9
K01542.01,1,261.3
K01543.01,1,408.5
K01544.01,1,423.9
K01545.01,1,990.3
K01546.01,0,128.1
K01596.01,0,26.4
K01596.02,0,22.6
K00186.01,0,1586.2
K01597.01,0,48.5
K01598.01,0,70.0
K01598.02,0,37.9
K01702.01,0,47.7
K01704.01,0,42.1
K01705.01,0,21.1
K01706.01,0,56.7
K01707.01,0,28.7
K01480.01,0,46.8
K01480.02,0,9.9
K01481.01,0,55.1
K01482.01,1,27.7
K01484.01,0,8.3
K01547.01,0,196.6
K01548.01,1,164.4
K01549.01,0,332.0
K00179.02,0,78.6
K01550.01,1,228.9
K01551.01,1,163.7
K01598.03,0,14.9
K01599.01,0,24.5
K01600.01,1,22.8
K01601.01,0,36.5
K01601.02,0,28.7
K01708.01,0,21.7
K00191.04,0,24.8
K01710.01,0,26.7
K01711.01,0,22.7
K01713.01,0,32.2
K01485.01,1,60.9
K01486.01,0,148.1
K00173.01,0,86.4
K01486.02,0,37.9
K01487.01,0,39.2
K01552.01,0,185.5
K01553.01,0,265.4
K01554.01,1,119.6
K01555.01,1,28.8
K01556.01,1,99.5
K01952.04,0,22.8
K01955.01,0,45.4
K01955.02,0,41.6
K01958.01,0,22.5
K01959.01,0,34.7
K02032.01,0,26.2
K02033.01,0,32.8
K02034.01,0,35.0
K02035.01,0,8.6
K02036.01,0,27.6
K01825.01,0,22.4
K01826.01,0,57.2
K00199.01,0,1429.9
K01828.01,0,45.6
K01829.01,1,47.6
K00205.01,0,707.3
K01890.01,0,48.0
K01891.01,0,39.0
K01891.02,0,18.3
K01892.01,0,35.0
K01960.01,0,38.2
K01961.01,0,40.9
K01962.01,0,36.4
K00213.01,1,2145.1
K01964.01,0,24.6
K01965.01,0,33.3
K00219.01,0,373.0
K02036.02,0,14.8
K02037.01,0,20.2
K02037.03,0,15.2
K02038.01,0,28.5
K01830.01,0,51.8
K01831.01,0,56.8
K01831.02,0,25.9
K01831.03,0,11.6
K01831.04,0,17.1
K01893.01,0,40.8
K01894.01,0,90.6
K01895.01,0,21.8
K01895.02,0,20.3
K01895.03,0,11.8
K01897.01,0,38.5
K01967.01,0,35.1
K01968.01,0,39.9
K01969.01,0,34.0
K01970.01,0,26.9
K01970.02,0,23.3
K02038.02,0,30.0
K02038.03,0,11.4
K02038.04,0,9.9
K02039.01,0,26.1
K02040.01,0,27.1
K01832.01,0,42.5
K01832.02,0,17.4
K01832.03,0,16.2
K00199.02,1,25.9
K01833.01,0,33.9
K00206.01,0,653.4
K01898.01,0,41.2
K01899.01,0,35.3
K01900.01,0,36.4
K01901.01,0,36.6
K01971.01,0,26.8
K01972.01,0,39.8
K01973.01,0,30.3
K00024.01,1,102.2
K00214.01,0,448.2
K02042.01,0,30.0
K00220.01,0,423.7
K02043.01,0,35.6
K02044.01,0,40.8
K02045.01,0,32.1
K01835.01,0,49.8
K01835.02,0,59.7
K01835.03,0,29.7
K01837.01,0,38.9
K01838.01,0,9.9
K01902.01,1,28.2
K01904.01,0,24.9
K01905.01,0,32.5
K01906.01,0,42.6
K01907.01,0,38.3
K01974.01,0,30.1
K01975.01,0,34.6
K01976.01,0,40.1
K01977.01,0,22.3
K01977.02,0,11.8
K02045.02,0,14.1
K02046.01,0,61.5
K02047.01,0,29.0
K02048.01,0,29.0
K02049.01,0,48.7
K01839.01,0,40.0
K01840.01,0,48.6
K01841.01,0,44.9
K01842.01,0,23.6
K00200.01,0,856.3
K01908.01,0,33.2
K00208.01,0,80.8
K01908.02,0,21.0
K01909.01,0,41.7
K01909.02,0,32.7
K01978.01,0,38.4
K01978.02,0,28.6
K01979.01,0,36.8
K01980.01,0,41.9
K01982.01,0,17.4
K02059.01,0,26.8
K02060.01,0,33.5
K02062.01,0,28.8
K00221.01,0,480.7
K02063.01,0,30.0
K01843.01,0,45.0
K01843.02,0,9.2
K01845.01,0,56.3
K01845.02,0,43.2
K01847.01,0,53.3
K01909.03,0,21.3
K01910.01,0,38.2
K01911.01,0,31.8
K01913.01,0,38.2
K01914.01,0,26.2
K00215.01,1,273.0
K01984.01,0,31.5
K01985.01,0,45.5
K01986.01,0,33.7
K01988.01,0,57.8
K02051.01,0,38.0
K02051.02,0,14.1
K00220.02,0,21.6
K02052.01,0,7.7
K02053.01,0,32.7
K01848.01,0,47.6
K01849.01,0,46.1
K01850.01,0,49.8
K01851.01,0,37.1
K01852.01,0,30.4
K01915.01,0,41.2
K01916.01,0,42.6
K00209.01,0,508.8
K01916.02,0,52.0
K01916.03,0,20.2
K01989.01,0,34.7
K01990.01,0,37.6
K01992.01,0,38.2
K01996.01,0,37.6
K01997.01,0,35.5
K02053.02,0,34.3
K02055.01,0,37.4
K02056.01,0,33.8
K02057.01,0,28.5
K02058.01,0,34.1
K00201.01,0,1457.8
K01853.01,0,51.7
K01854.01,0,50.0
K01856.01,0,55.0
K01857.01,0,57.6
K01917.01,0,34.0
K01920.01,0,40.9
K01921.01,0,49.8
K01922.01,0,43.1
K01922.02,0,
K01923.01,0,34.3
K01998.01,0,33.6
K00216.01,0,226.8
K02000.01,0,31.2
K02001.01,0,17.3
K02002.01,0,15.7
K02064.01,0,35.6
K02066.01,0,26.4
K02067.01,0,35.7
K02069.01,0,44.0
K02071.01,0,24.3
K01858.01,0,31.5
K01858.02,0,8.0
K01860.01,0,61.0
K01860.02,0,45.5
K01860.03,0,29.3
K01924.01,1,21.5
K01925.01,0,30.0
K00209.02,0,282.3
K01927.01,0,
K01928.01,0,53.1
K01929.01,0,45.1
K02003.01,0,37.3
K02004.01,0,35.6
K02005.01,0,39.9
K02006.01,0,34.0
K02007.01,0,17.6
K01783.01,0,149.9
K01784.01,0,196.6
K01786.01,1,210.9
K01787.01,0,124.4
K01788.01,0,111.3
K01861.01,0,47.5
K00202.01,1,1654.9
K01862.01,0,47.7
K01863.01,0,36.0
K01864.01,0,53.3
K01929.02,0,40.8
K01930.01,0,62.5
K01930.02,0,48.9
K01930.03,0,50.5
K01930.04,0,29.4
K01931.01,0,27.5
K02007.02,0,12.5
K02008.01,1,10.9
K00216.02,0,19.4
K02009.01,0,35.7
K02010.01,0,37.5
K01790.01,0,103.7
K00196.01,1,1853.8
K01793.01,0,190.4
K01794.01,1,32.0
K01797.01,0,118.8
K01866.01,0,40.6
K01867.01,0,43.7
K01867.02,0,37.0
K01867.03,0,29.3
K01868.01,0,42.6
K01931.02,0,14.6
K00210.01,0,263.5
K01931.03,0,17.1
K01932.01,0,15.9
K01933.01,0,39.7
K02011.01,0,25.2
K02012.01,0,27.0
K02013.01,0,30.0
K02014.01,1,42.6
K02016.01,0,39.8
K01798.01,1,183.3
K01799.01,1,36.2
K01800.01,0,159.2
K01801.01,0,16.5
K01802.01,0,59.5
K01870.01,0,44.3
K01871.01,0,43.3
K00203.01,1,1176.6
K01872.01,0,38.7
K01873.01,0,43.4
K01934.01,0,40.1
K01935.01,1,44.9
K01937.01,0,89.3
K01938.01,0,53.4
K01939.01,0,25.3
K02017.01,0,11.6
K02018.01,0,24.7
K02019.01,0,34.2
K00217.01,0,1315.8
K02020.01,0,42.1
K01803.01,0,50.3
K01805.01,0,43.1
K00197.01,0,871.4
K01805.02,0,21.6
K01805.03,0,25.6
K01874.01,0,41.2
K01874.02,0,20.6
K01875.01,0,38.8
K01876.01,0,40.1
K01877.01,0,35.1
K01940.01,0,32.7
K01940.02,0,
K00211.01,0,190.1
K01941.01,0,41.2
K01942.01,0,43.5
K01944.01,0,23.3
K02021.01,0,27.2
K02022.01,0,8.9
K02022.02,0,6.8
K02023.01,0,27.7
K02024.01,0,37.5
K01808.01,0,43.5
K01809.01,0,62.2
K01809.02,0,65.6
K01810.01,0,118.9
K01812.01,1,329.7
K01813.01,0,54.1
K01878.01,0,39.3
K01879.01,0,48.5
K01880.01,0,83.7
K00023.01,1,1765.2
K00204.01,0,775.0
K01944.02,0,17.7
K01945.01,0,36.1
K01945.02,0,6.1
K01946.01,0,38.1
K01948.01,1,30.6
K02025.01,0,43.5
K02025.02,0,38.1
K02025.03,0,19.9
K02026.01,0,22.5
K00218.01,1,1281.9
K01814.01,0,54.0
K01815.01,0,94.6
K00198.01,1,335.2
K01816.01,0,72.0
K01818.01,0,43.1
K01819.01,0,20.8
K01881.01,0,42.1
K01882.01,0,37.1
K01883.01,0,31.7
K01884.01,0,61.2
K01884.02,0,16.7
K01950.01,0,33.6
K01952.01,0,34.6
K00212.01,0,391.2
K01952.02,0,24.4
K01952.03,0,16.0
K02028.01,0,29.8
K02028.02,0,23.2
K02029.01,0,17.5
K02029.02,0,13.6
K02031.01,0,24.2
K01820.01,0,47.9
K01820.02,0,22.3
K01822.01,0,70.6
K01824.01,0,77.4
K01824.02,0,76.1
K01885.01,0,37.8
K01886.01,0,32.1
K01888.01,0,46.1
K01889.01,0,37.5
K01889.02,0,18.2
K02248.04,0,8.4
K02250.01,0,38.0
K02252.01,0,21.8
K02253.01,0,22.0
K02255.01,0,23.5
K02336.01,0,14.7
K02337.01,0,21.8
K02338.01,0,21.3
K02339.01,0,20.4
K02339.02,0,
K00239.02,0,22.3
K02101.01,0,23.9
K02102.01,0,20.2
K02103.01,0,26.5
K00223.01,0,113.7
K02104.01,0,45.5
K02173.01,0,22.4
K02173.02,0,15.4
K02174.01,0,23.4
K02174.02,0,16.3
K02174.03,0,10.5
K02256.01,0,31.2
K02257.01,0,24.1
K02259.01,0,19.4
K02260.01,0,25.8
K02261.01,0,27.3
K02340.01,0,21.4
K02341.01,0,20.4
K02342.01,0,23.4
K02343.01,0,20.9
K02344.01,0,21.7
K02105.01,0,25.4
K02106.01,0,18.9
K02107.01,0,20.7
K02108.01,0,34.7
K02109.01,0,22.8
K02175.01,0,39.2
K02177.01,0,22.6
K02179.01,0,27.3
K02179.02,0,27.0
K00231.01,1,83.7
K00234.01,0,108.6
K02261.02,0,2.7
K02263.01,0,26.5
K02264.01,0,20.4
K02265.01,0,25.9
K02345.01,0,21.4
K02346.01,0,23.8
K02347.01,0,50.9
K02348.01,0,20.8
K02350.01,0,23.6
K02110.01,0,20.9
K02111.01,0,27.0
K02111.02,0,23.8
K02113.01,0,34.3
K00223.02,0,43.9
K02180.01,0,22.7
K02181.01,0,12.0
K02182.01,0,26.4
K02183.01,0,19.7
K02183.02,0,20.0
K02266.01,0,25.2
K02269.01,1,36.4
K02271.01,0,23.7
K02272.01,0,31.2
K02273.01,0,11.8
K00240.01,0,167.3
K02351.01,0,19.2
K02352.01,0,24.5
K02352.02,0,32.2
K02352.03,0,18.2
K02113.02,0,28.3
K02114.01,0,31.9
K02115.01,0,32.7
K02116.01,0,40.5
K02117.01,0,21.3
K02185.01,0,26.5
K02186.01,0,33.2
K02188.02,0,6.8
K02189.01,0,32.2
K02191.01,0,21.1
K02274.01,0,24.1
K00235.01,0,70.9
K02276.01,0,27.1
K02278.01,0,24.5
K02278.02,0,17.7
K02358.01,0,31.8
K00241.01,0,75.3
K02360.01,0,18.9
K02361.01,0,20.7
K02362.02,0,17.7
K02119.01,0,38.2
K02120.01,0,22.3
K02121.01,0,21.5
K02122.01,0,31.0
K02123.01,0,26.6
K00232.01,0,304.6
K02193.01,0,34.6
K02194.01,0,24.0
K02195.01,0,26.9
K02200.01,0,20.1
K02279.01,0,25.5
K02279.02,0,16.0
K02280.01,0,23.7
K02281.01,0,28.7
K02282.01,0,22.4
K02368.01,0,16.9
K02369.01,0,22.0
K00241.02,0,23.2
K02369.02,0,6.4
K02370.01,0,19.1
K00224.01,1,65.2
K02124.01,0,18.1
K02125.01,0,25.9
K02126.01,0,30.4
K02128.01,1,26.3
K02201.01,1,25.0
K02202.01,0,34.8
K02204.01,0,20.7
K02205.01,0,18.0
K02206.01,0,24.8
K02283.01,1,20.9
K02285.01,0,24.0
K00027.01,0,2036.3
K00236.01,1,141.4
K02286.01,0,21.5
K02353.01,0,25.7
K02354.01,0,32.6
K02355.01,0,26.5
K02356.01,0,17.0
K02357.01,0,20.7
K02129.01,0,27.0
K02130.01,0,19.5
K02131.01,0,26.8
K02132.01,0,21.9
K02133.01,0,63.6
K02208.01,0,21.9
K00232.02,0,65.6
K02209.01,0,24.7
K02210.01,0,23.7
K02212.01,0,28.3
K02287.01,0,18.1
K02288.01,0,20.3
K02289.01,0,21.1
K02290.01,0,22.6
K02291.01,0,23.2
K02363.01,0,20.2
K02364.01,0,20.1
K02365.01,0,21.0
K02366.01,0,21.6
K02367.01,0,17.3
K02134.01,0,23.8
K00225.01,1,303.7
K02135.01,0,36.2
K02136.01,0,26.2
K02137.01,0,24.9
K02213.01,0,23.9
K02214.01,0,20.4
K02215.01,0,90.4
K02216.01,0,18.2
K02217.01,0,20.2
K02293.01,0,22.2
K02294.01,0,19.4
K02295.01,0,14.5
K02296.01,0,24.0
K00237.01,0,93.4
K02371.01,0,22.1
K02372.01,0,23.3
K02373.01,0,17.3
K02374.01,0,20.3
K02374.02,0,15.2
K02138.01,0,29.9
K02140.01,0,27.7
K02143.01,0,23.1
K02144.01,0,25.2
K02145.01,0,27.2
K02218.01,0,27.5
K02218.02,0,11.6
K00232.03,0,34.0
K02219.01,0,23.4
K02220.01,0,24.4
K02297.01,0,19.8
K02298.01,0,17.9
K02299.01,0,22.1
K02300.01,0,28.9
K02302.01,0,22.4
K02072.01,0,35.2
K02073.01,0,27.8
K02073.02,0,28.1
K02073.03,0,21.8
K00025.01,1,222.3
K02146.01,0,29.3
K02147.01,0,25.9
K00226.01,0,74.3
K02148.01,0,32.3
K02148.02,0,25.8
K02220.02,0,26.1
K02220.03,0,27.2
K02221.01,0,22.6
K02222.01,0,8.6
K02223.01,0,35.3
K02303.01,0,15.9
K02304.01,0,21.4
K02305.01,0,17.6
K02306.01,1,46.1
K02307.01,1,24.2
K00221.02,0,15.3
K02074.01,0,28.4
K02075.01,0,23.2
K02076.01,0,33.6
K02078.01,0,23.8
K02148.03,0,14.9
K02149.01,0,25.5
K02150.01,0,30.1
K02151.01,1,26.2
K02152.01,0,25.7
K02224.01,0,24.0
K02224.02,0,3.7
K02225.01,0,22.2
K00232.04,0,37.8
K02226.01,0,26.1
K00238.01,0,64.1
K02308.01,0,20.8
K02309.01,0,23.1
K02310.01,0,22.4
K02311.01,0,
K02311.02,0,
K02312.01,0,8.4
K02079.01,0,28.9
K02080.01,0,24.7
K02080.02,0,20.5
K02081.01,0,53.4
K02082.01,0,27.3
K02153.01,0,25.2
K02153.02,0,19.3
K02154.01,0,27.8
K00227.01,0,117.2
K02155.01,0,31.6
K02156.01,0,33.3
K02227.01,0,22.0
K02228.01,0,82.1
K02229.01,0,19.1
K02230.01,0,25.0
K02232.01,0,25.7
K02233.01,0,83.9
K02313.01,0,19.3
K02314.01,0,28.5
K02315.01,0,16.3
K02316.01,0,25.4
K00238.02,0,13.4
K02083.01,0,25.0
K00222.01,0,112.5
K02084.01,0,23.3
K02086.01,0,27.2
K02086.02,0,29.6
K02158.01,0,22.8
K02159.01,0,24.5
K02159.02,0,20.5
K02160.01,0,25.0
K02160.02,0,
K02162.01,0,24.3
K02236.01,0,21.8
K02236.02,0,14.0
K02237.01,0,23.9
K00232.05,0,29.7
K02238.01,0,25.2
K02317.01,0,18.2
K02318.01,0,18.6
K02319.01,0,21.3
K02321.01,0,21.6
K02323.01,0,
K02324.01,0,10.8
K02086.03,0,15.9
K02087.01,0,20.9
K02090.01,0,35.4
K02091.01,0,32.7
K02092.01,0,30.2
K02163.01,0,25.3
K02164.01,0,25.1
K00229.01,0,362.1
K02166.01,0,19.5
K02167.01,0,27.8
K02241.01,0,17.6
K02242.01,0,25.1
K02243.01,0,27.6
K02245.01,0,23.2
K02246.01,0,22.3
K02325.01,0,36.0
K02327.01,0,22.8
K02328.01,0,22.3
K02329.01,0,31.2
K00239.01,0,145.9
K02092.02,0,31.6
K02093.01,0,35.3
K00222.02,0,54.1
K02094.01,0,26.0
K02095.01,0,28.4
K02167.02,0,1.8
K02168.01,0,24.5
K02168.02,0,22.6
K02169.01,0,21.0
K02169.02,0,18.6
K02247.01,0,20.8
K02248.01,0,16.5
K02248.02,0,7.3
K02248.03,0,18.3
K00233.01,1,184.3
K02331.01,0,27.5
K02332.01,0,29.8
K02333.01,0,22.0
K02333.02,0,18.6
K02335.01,0,20.6
K02096.01,0,23.6
K02097.01,0,19.1
K02098.01,0,30.5
K02099.01,0,23.8
K02100.01,0,24.6
K02169.03,0,13.7
K02169.04,0,6.6
K02171.01,0,12.8
K00026.01,1,181.6
K00230.01,1,101.1
K02172.01,0,22.2
K02554.01,0,10.2
K02554.02,0,17.5
K02555.01,0,12.4
K02556.01,0,18.7
K02557.01,0,15.1
K02633.01,0,130.0
K00253.02,0,16.3
K02634.01,0,18.0
K02635.01,0,16.2
K02636.01,0,11.9
K02409.01,0,68.3
K02410.01,0,
K00244.01,0,485.5
K02410.02,0,
K02411.01,0,22.9
K02412.01,0,20.7
K02413.01,0,21.2
K02484.01,0,19.5
K02485.01,0,16.7
K02486.01,0,24.6
K02487.01,0,21.4
K00031.01,1,20.6
K00250.02,0,68.6
K02558.01,0,58.5
K02559.01,0,19.2
K02560.01,0,15.8
K02561.01,0,17.2
K02637.01,0,12.4
K02638.01,0,19.8
K02639.01,0,11.8
K02639.02,0,6.4
K02640.01,0,
K02641.01,0,15.5
K02413.02,0,13.7
K02414.01,0,22.2
K02414.02,0,15.9
K02415.01,0,26.1
K02416.01,0,9.3
K00247.01,0,46.7
K02488.01,0,19.4
K02489.01,0,25.3
K02490.01,0,17.8
K02491.01,0,23.3
K02562.01,0,13.1
K02563.01,0,17.6
K02564.01,0,21.3
K02565.01,0,27.9
K02566.01,0,22.2
K02642.01,0,13.4
K00254.01,0,1341.6
K02643.01,0,15.8
K02644.01,0,31.5
K02645.01,0,11.5
K02646.01,0,85.2
K02417.01,0,22.8
K00244.02,0,274.5
K02418.01,0,15.1
K02419.01,0,16.8
K02420.01,0,20.3
K02492.01,0,22.9
K02493.01,0,35.3
K02494.01,0,20.5
K02495.01,0,33.5
K02496.01,0,12.7
K02567.01,0,23.3
K00250.03,0,38.2
K02569.01,0,12.9
K02571.01,0,25.6
K02572.01,0,17.9
K02647.01,0,14.8
K02648.01,1,24.7
K02649.01,0,15.7
K02650.01,0,11.5
K02650.02,0,11.2
K02421.01,0,15.9
K02422.01,0,20.9
K02423.01,0,17.1
K02424.01,0,15.6
K02425.01,0,22.5
K02497.01,0,17.3
K00248.01,0,101.1
K02498.01,0,14.4
K02499.01,0,12.8
K02501.01,1,20.0
K02573.01,1,88.7
K02574.01,0,45.2
K02576.01,0,14.0
K02577.01,0,33.2
K02578.01,0,17.1
K02651.01,0,23.8
K00255.01,0,106.5
K02652.01,0,21.3
K02654.01,0,15.4
K02655.01,0,15.7
K02426.01,0,16.3
K02427.01,0,15.0
K00245.01,0,179.5
K02428.01,1,20.5
K02429.01,0,18.3
K02503.01,0,21.9
K02504.01,0,23.3
K02505.01,1,28.7
K02506.01,0,19.9
K02507.01,0,14.7
K02579.01,0,18.4
K02580.01,0,18.8
K00250.04,0,32.4
K02581.01,0,12.9
K02582.01,0,19.5
K02668.01,0,36.7
K02669.01,1,534.5
K02670.01,1,897.0
K02671.01,0,124.8
K02671.02,0,9.7
K02672.01,0,63.1
K02430.01,0,17.4
K02431.01,0,4.6
K02432.01,0,15.8
K02433.01,0,28.5
K02433.02,0,28.8
K02508.01,0,16.8
K02509.01,0,19.4
K00248.02,0,57.4
K02510.01,0,24.7
K02511.01,1,15.7
K02583.01,0,15.6
K02585.01,0,19.2
K02586.01,0,22.9
K02587.01,0,15.7
K02588.01,0,18.9
K02656.01,0,15.1
K02657.01,0,15.1
K02658.01,0,20.4
K02659.01,1,5.7
K02660.01,0,16.7
K02434.01,1,23.6
K02435.01,0,14.9
K02436.01,0,20.4
K00245.02,0,32.4
K02437.01,0,16.4
K02512.01,0,16.1
K02513.01,0,20.2
K02514.01,0,14.2
K02516.01,0,17.8
K02517.01,0,16.9
K02589.01,0,20.9
K02590.01,0,12.5
K02592.01,0,14.7
K00004.01,0,132.7
K00033.01,1,16.7
K00251.01,0,132.1
K02662.01,0,20.7
K02664.01,0,15.0
K00256.01,1,172.2
K02665.01,0,13.0
K02666.01,0,16.9
K02667.01,0,22.1
K02438.01,1,24.5
K02439.01,0,25.2
K02440.01,0,17.1
K02441.01,0,23.0
K02442.01,0,18.0
K02518.01,0,65.3
K02519.01,0,17.6
K02520.01,0,17.7
K00248.03,0,63.6
K02521.01,0,21.4
K02593.01,0,22.4
K02594.01,0,17.0
K02595.01,0,20.3
K02595.02,0,15.2
K02596.01,0,38.1
K02672.02,0,34.1
K00257.01,0,35.4
K02673.01,1,92.0
K02674.01,0,175.2
K02674.02,0,17.0
K02674.03,0,25.5
K02443.01,0,18.5
K02443.02,0,12.7
K02444.01,0,17.2
K02445.01,0,16.0
K00245.03,0,7.4
K02447.01,1,21.7
K02521.02,0,15.2
K02522.01,0,20.6
K02523.01,0,18.9
K02524.01,0,15.4
K02525.01,0,15.7
K02597.01,0,15.6
K02597.02,0,15.3
K02597.03,0,15.2
K02598.01,0,15.7
K02600.01,0,14.0
K02375.01,1,23.4
K02376.01,0,19.9
K02377.01,0,15.3
K00241.03,0,22.5
K02378.01,0,14.3
K02448.01,0,26.7
K02449.01,0,19.7
K02450.01,0,21.6
K02451.01,1,16.9
K02452.01,0,12.2
K02526.01,0,6.9
K02527.01,0,19.1
K02528.01,0,20.1
K02529.01,0,21.2
K00248.04,0,27.6
K00251.02,0,11.8
K02601.01,0,42.9
K02602.01,0,16.5
K02603.01,0,21.1
K02604.01,0,14.8
K02379.01,1,20.2
K02380.01,0,17.3
K02381.01,0,15.7
K02382.01,1,21.6
K02383.01,0,17.7
K02453.01,0,23.2
K02454.01,1,17.6
K02455.01,0,13.2
K02456.01,1,16.4
K00245.04,0,
K02457.01,0,15.9
K02530.01,0,22.5
K02531.01,0,19.8
K02532.01,0,17.3
K02533.01,0,26.1
K02534.01,0,23.8
K02605.01,0,62.8
K02606.01,0,14.0
K02607.01,0,31.1
K02608.01,0,14.2
K02609.01,0,15.3
K02384.01,0,17.8
K02385.01,1,19.9
K02386.01,0,13.0
K02387.01,0,24.5
K00028.01,1,2619.2
K02458.01,0,19.0
K02460.01,0,16.0
K02461.01,0,22.6
K02462.01,0,27.1
K02463.01,0,18.8
K02534.02,0,10.7
K02535.01,0,13.5
K02536.01,0,19.6
K02537.01,0,6.5
K02538.01,0,15.8
K00249.01,0,112.2
K02610.01,0,23.6
K00252.01,0,80.1
K02611.01,0,26.4
K02613.01,0,13.2
K02615.01,0,15.9
K02616.01,1,59.8
K00242.01,0,288.6
K02388.01,0,29.2
K02389.01,0,24.0
K02390.01,0,25.4
K02392.01,0,15.4
K02464.01,0,19.2
K02465.01,1,21.2
K02466.01,0,21.4
K02466.02,0,14.9
K00246.01,0,289.6
K02539.01,0,16.0
K02540.01,0,17.5
K02541.01,0,20.6
K02542.01,0,20.4
K02543.01,0,21.4
K02617.01,0,14.9
K02618.01,0,17.0
K02619.01,0,17.9
K02620.01,0,17.5
K02621.01,0,19.0
K02393.01,0,22.2
K02395.01,0,20.4
K02397.01,0,20.0
K02398.01,1,37.1
K02399.01,0,17.7
K02467.01,0,17.6
K02468.01,0,18.1
K02469.01,0,23.9
K02470.01,0,29.3
K02471.01,0,16.1
K02544.01,0,18.3
K02545.01,0,20.9
K02546.01,0,17.4
K02547.01,0,18.4
K02548.01,0,8.1
K00250.01,0,137.2
K02622.01,1,26.8
K00253.01,0,64.4
K02623.01,0,13.2
K02624.01,0,20.7
K02625.01,0,11.4
K02626.01,0,17.0
K02400.01,0,18.5
K00243.01,1,222.8
K02401.01,0,21.0
K02402.01,0,19.7
K02403.01,0,16.3
K02472.01,0,23.0
K02473.01,0,18.0
K02474.01,0,7.7
K02475.01,0,17.2
K02476.01,1,35.9
K00246.02,0,32.2
K02549.01,0,13.6
K02550.01,0,17.3
K02551.01,0,13.8
K02552.01,0,12.8
K02553.01,0,18.1
K02627.01,0,14.1
K02628.01,0,17.4
K02629.01,1,18.9
K02631.01,0,21.4
K02632.01,0,22.0
K02404.01,0,15.3
K02405.01,0,41.6
K02406.01,0,21.3
K02407.01,0,23.7
K02408.01,0,22.5
K02477.01,0,19.3
K02478.01,0,62.2
K02479.01,0,28.4
K02481.01,0,10.0
K02482.01,0,14.1
K02483.01,0,16.3
K02840.01,0,18.1
K02840.02,0,12.7
K02841.01,0,17.3
K02842.01,0,48.6
K02842.02,0,25.4
K02917.01,1,27.0
K02918.01,0,79.6
K02919.01,0,18.5
K02920.01,0,15.4
K00276.01,0,110.5
