kepoi_name,ss,snr
K00902.01,0,182.1
K00903.01,0,431.4
K00904.01,0,42.6
K00904.02,0,25.4
K00124.01,0,60.2
K00895.01,1,85.8
K00896.01,0,123.8
K00896.02,0,86.2
K00897.01,0,1072.1
K00898.01,0,58.0
K00898.02,0,41.4
K00123.02,0,114.9
K00898.03,0,36.9
K00899.01,0,44.4
K00899.02,0,37.8
K00899.03,0,30.9
K00900.01,0,46.2
K00911.01,0,36.4
K00911.02,0,15.4
K00912.01,0,64.5
K00912.02,0,14.2
K00913.01,0,1669.1
K00914.01,0,48.1
K00904.03,0,21.6
K00904.04,0,28.1
K00904.05,0,21.4
K00905.01,0,119.4
K00906.01,0,47.7
K00906.02,0,23.8
K00906.03,0,12.9
K00907.01,0,55.9
K00907.02,0,44.8
K00907.03,0,21.2
K00124.02,0,63.1
K00907.04,0,22.7
K00908.01,0,633.4
K00909.01,0,54.5
K00910.01,0,77.4
K00928.01,0,69.2
K00929.01,0,502.3
K00930.01,1,203.5
K00931.01,0,1173.9
K00932.01,0,90.1
K00125.01,1,1077.8
K00915.01,1,1667.3
K00916.01,0,123.5
K00917.01,1,45.4
K00918.01,0,690.3
K00919.01,1,1843.8
K00920.01,0,49.9
K00921.01,0,55.0
K00921.02,0,60.7
K00921.03,0,25.6
K00922.01,0,48.1
K00126.01,1,529.9
K00923.01,0,79.7
K00924.01,0,26.6
K00925.01,1,1398.8
K00926.01,0,128.3
K00927.01,1,547.8
K00939.01,0,30.6
K00939.02,0,25.2
K00939.03,0,22.7
K00939.04,0,21.9
K00940.01,0,293.7
K00127.01,0,1838.4
K00933.01,1,37.2
K00934.01,0,81.1
K00934.02,0,25.6
K00934.03,0,26.7
K00935.01,0,117.0
K00935.02,0,78.7
K00935.03,0,37.5
K00935.04,0,18.2
K00936.01,0,124.7
K00936.02,0,87.8
K00128.01,0,2040.7
K00937.01,0,45.1
K00938.01,0,51.0
K00938.02,0,25.3
K00938.03,0,16.7
K00145.01,1,86.1
K01102.02,0,32.2
K01102.03,0,16.9
K01102.04,0,15.1
K01103.01,0,57.9
K00150.02,0,97.1
K01168.01,0,39.2
K01169.01,0,93.4
K01170.01,0,32.2
K01171.01,0,28.9
K00966.01,1,458.6
K00967.01,1,534.5
K00968.01,0,91.7
K00969.01,1,322.3
K00970.01,0,37.1
K00971.01,0,179.6
K01044.01,1,116.1
K01045.01,0,140.6
K01046.01,0,
K01047.01,0,24.3
K00014.01,1,62.3
K00139.01,0,235.7
K01104.01,1,19.6
K01105.01,0,22.2
K01106.01,0,37.5
K01106.02,0,10.9
K01107.01,0,37.5
K01108.01,0,41.0
K01172.01,0,136.3
K01173.01,0,27.0
K01174.01,0,35.7
K01175.01,0,25.5
K01175.02,0,23.6
K01176.01,0,1252.5
K00972.01,0,267.4
K00133.01,1,270.1
K00972.02,0,37.2
K00974.01,0,71.2
K00975.01,0,53.6
K00976.01,1,184.3
K01048.01,0,35.6
K01049.01,1,63.6
K01050.01,0,73.5
K01050.02,0,39.7
K01051.01,0,29.8
K00146.01,1,187.6
K01108.02,0,27.2
K01108.03,0,24.5
K01109.01,0,
K01110.01,0,24.8
K01111.01,0,20.1
K00151.01,0,105.3
K01177.01,1,39.6
K01178.01,1,298.0
K01179.01,1,154.6
K01180.01,1,882.6
K01181.01,0,195.2
K00977.01,1,76.7
K00978.01,0,249.3
K00979.01,1,56.3
K00980.01,1,221.1
K00981.01,0,6.1
K00982.01,1,66.9
K00134.01,0,60.9
K01052.01,0,29.8
K01052.02,0,17.7
K01052.03,0,15.5
K01052.04,0,11.8
K01053.01,0,21.1
K01112.01,0,35.2
K01113.01,0,42.2
K01113.02,0,36.1
K01114.01,0,24.0
K01115.01,0,38.7
K01182.01,1,115.3
K01183.01,1,103.4
K01184.01,1,182.2
K01185.01,1,148.0
K01186.01,1,103.4
K00152.01,0,243.5
K00983.01,0,24.2
K00984.01,0,19.4
K00985.01,0,22.2
K00986.01,0,38.4
K00986.02,0,17.4
K00139.02,0,48.8
K01054.01,0,8.6
K01055.01,1,59.2
K01056.01,0,54.4
K01057.01,0,34.7
K00147.01,1,58.1
K01116.01,0,38.0
K01117.01,0,38.9
K01118.01,0,19.1
K01119.01,0,27.2
K01193.01,0,71.6
