Fetching TESS target lists from NASA Exoplanet Archive...
  Archive has 952 confirmed, 880 FP
  Selected 200 confirmed, 200 FP
  [ 41/400] CONF TOI-2818.01    (depth=  15110 ppm) ... OK  (2s, p_dip=-0.0073, s_dip=-0.0073, oe_amp=0.0011)
  [ 42/400] CONF TOI-2547.01    (depth=  14975 ppm) ... OK  (7s, p_dip=-0.0091, s_dip=-0.0091, oe_amp=0.0025)
  [ 43/400] CONF TOI-7056.01    (depth=  14780 ppm) ... OK  (2s, p_dip=-0.0107, s_dip=-0.0107, oe_amp=0.0039)
  [ 44/400] CONF TOI-112.01     (depth=  14621 ppm) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
OK  (29s, p_dip=-0.0079, s_dip=-0.0079, oe_amp=0.0003)
  [ 45/400] CONF TOI-7512.01    (depth=  14456 ppm) ... OK  (2s, p_dip=-0.0091, s_dip=-0.0091, oe_amp=0.0091)
  [ 46/400] CONF TOI-1910.01    (depth=  14310 ppm) ... OK  (5s, p_dip=-0.0079, s_dip=-0.0079, oe_amp=0.0018)
  [ 47/400] CONF TOI-4521.01    (depth=  14229 ppm) ... OK  (4s, p_dip=-0.0107, s_dip=-0.0107, oe_amp=0.0010)
  [ 48/400] CONF TOI-7491.01    (depth=  14027 ppm) ... OK  (2s, p_dip=-0.0106, s_dip=-0.0106, oe_amp=0.0078)
  [ 49/400] CONF TOI-437.01     (depth=  13852 ppm) ... OK  (6s, p_dip=-0.0119, s_dip=-0.0119, oe_amp=0.0024)
  [ 50/400] CONF TOI-6013.01    (depth=  13770 ppm) ... OK  (3s, p_dip=-0.0082, s_dip=-0.0082, oe_amp=0.0034)
  [ 51/400] CONF TOI-1928.01    (depth=  13639 ppm) ... OK  (4s, p_dip=-0.0022, s_dip=-0.0022, oe_amp=0.0025)
  [ 52/400] CONF TOI-1902.01    (depth=  13450 ppm) ... OK  (7s, p_dip=-0.0118, s_dip=-0.0118, oe_amp=0.0014)
  [ 53/400] CONF TOI-6275.01    (depth=  13271 ppm) ... OK  (5s, p_dip=-0.0057, s_dip=-0.0057, oe_amp=0.0006)
  [ 54/400] CONF TOI-547.01     (depth=  13140 ppm) ... OK  (4s, p_dip=-0.0164, s_dip=-0.0164, oe_amp=0.0027)
  [ 55/400] CONF TOI-2368.01    (depth=  13020 ppm) ... OK  (5s, p_dip=-0.0079, s_dip=-0.0079, oe_amp=0.0016)
  [ 56/400] CONF TOI-6720.01    (depth=  12887 ppm) ... OK  (5s, p_dip=-0.0048, s_dip=-0.0048, oe_amp=0.0032)
  [ 57/400] CONF TOI-501.01     (depth=  12680 ppm) ... OK  (8s, p_dip=-0.0099, s_dip=-0.0099, oe_amp=0.0031)
  [ 58/400] CONF TOI-1883.01    (depth=  12523 ppm) ... OK  (4s, p_dip=-0.0088, s_dip=-0.0088, oe_amp=0.0025)
  [ 59/400] CONF TOI-5672.01    (depth=  12338 ppm) ... Warning: 37% (6262/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
OK  (2s, p_dip=-0.0105, s_dip=-0.0105, oe_amp=0.0036)
  [ 60/400] CONF TOI-752.01     (depth=  12259 ppm) ... OK  (10s, p_dip=-0.0074, s_dip=-0.0074, oe_amp=0.0004)
  [ 61/400] CONF TOI-111.01     (depth=  12142 ppm) ... OK  (7s, p_dip=-0.0107, s_dip=-0.0107, oe_amp=0.0015)
  [ 62/400] CONF TOI-5685.01    (depth=  12040 ppm) ... Warning: 37% (6212/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
OK  (1s, p_dip=-0.0064, s_dip=-0.0064, oe_amp=0.0037)
  [ 63/400] CONF TOI-4531.01    (depth=  11930 ppm) ... OK  (5s, p_dip=-0.0072, s_dip=-0.0072, oe_amp=0.0017)
  [ 64/400] CONF TOI-1198.01    (depth=  11794 ppm) ... OK  (6s, p_dip=-0.0060, s_dip=-0.0060, oe_amp=0.0023)
  [ 65/400] CONF TOI-2338.01    (depth=  11530 ppm) ... OK  (4s, p_dip=-0.0032, s_dip=-0.0032, oe_amp=0.0032)
  [ 66/400] CONF TOI-1463.01    (depth=  11427 ppm) ... OK  (4s, p_dip=-0.0059, s_dip=-0.0059, oe_amp=0.0036)
  [ 67/400] CONF TOI-7719.01    (depth=  11305 ppm) ... OK  (2s, p_dip=-0.0094, s_dip=-0.0094, oe_amp=0.0039)
  [ 68/400] CONF TOI-7497.01    (depth=  11253 ppm) ... OK  (1s, p_dip=-0.0056, s_dip=-0.0056, oe_amp=0.0016)
  [ 69/400] CONF TOI-2524.01    (depth=  11192 ppm) ... OK  (5s, p_dip=-0.0066, s_dip=-0.0066, oe_amp=0.0012)
  [ 70/400] CONF TOI-5818.01    (depth=  11140 ppm) ... OK  (3s, p_dip=-0.0066, s_dip=-0.0066, oe_amp=0.0011)
  [ 71/400] CONF TOI-1780.01    (depth=  10980 ppm) ... OK  (6s, p_dip=-0.0103, s_dip=-0.0103, oe_amp=0.0011)
  [ 72/400] CONF TOI-4428.01    (depth=  10888 ppm) ... OK  (6s, p_dip=-0.0086, s_dip=-0.0086, oe_amp=0.0040)
