Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 250 confirmed, 250 FP
  [ 44/500] CONF K00002.01    (depth=   6675 ppm) ... OK  (9s, p_dip=-0.0067, s_dip=-0.0067, oe_amp=0.0000)
  [ 45/500] CONF K00377.01    (depth=   6660 ppm) ... OK  (9s, p_dip=-0.0006, s_dip=-0.0006, oe_amp=0.0002)
  [ 46/500] CONF K02704.01    (depth=   6462 ppm) ... OK  (1s, p_dip=-0.0057, s_dip=-0.0057, oe_amp=0.0010)
  [ 47/500] CONF K01456.01    (depth=   6331 ppm) ... OK  (2s, p_dip=-0.0059, s_dip=-0.0059, oe_amp=0.0011)
  [ 48/500] CONF K01323.01    (depth=   6155 ppm) ... OK  (6s, p_dip=-0.0061, s_dip=-0.0061, oe_amp=0.0004)
  [ 49/500] CONF K02715.01    (depth=   6057 ppm) ... OK  (4s, p_dip=-0.0049, s_dip=-0.0049, oe_amp=0.0005)
  [ 50/500] CONF K00214.01    (depth=   5976 ppm) ... OK  (7s, p_dip=-0.0053, s_dip=-0.0053, oe_amp=0.0001)
  [ 51/500] CONF K00094.01    (depth=   5613 ppm) ... OK  (7s, p_dip=-0.0054, s_dip=-0.0054, oe_amp=0.0000)
  [ 52/500] CONF K01804.01    (depth=   5569 ppm) ... OK  (2s, p_dip=-0.0055, s_dip=-0.0055, oe_amp=0.0031)
  [ 53/500] CONF K00216.01    (depth=   5368 ppm) ... OK  (8s, p_dip=-0.0036, s_dip=-0.0036, oe_amp=0.0003)
  [ 54/500] CONF K00757.01    (depth=   4914 ppm) ... OK  (7s, p_dip=-0.0040, s_dip=-0.0040, oe_amp=0.0003)
  [ 55/500] CONF K00206.01    (depth=   4676 ppm) ... OK  (8s, p_dip=-0.0046, s_dip=-0.0046, oe_amp=0.0002)
  [ 56/500] CONF K00013.01    (depth=   4591 ppm) ... OK  (9s, p_dip=-0.0047, s_dip=-0.0047, oe_amp=0.0000)
  [ 57/500] CONF K00680.01    (depth=   4510 ppm) ... OK  (2s, p_dip=-0.0045, s_dip=-0.0045, oe_amp=0.0001)
  [ 58/500] CONF K00003.01    (depth=   4316 ppm) ... OK  (8s, p_dip=-0.0041, s_dip=-0.0041, oe_amp=0.0003)
  [ 59/500] CONF K00063.01    (depth=   3977 ppm) ... OK  (9s, p_dip=-0.0029, s_dip=-0.0029, oe_amp=0.0021)
  [ 60/500] CONF K00221.01    (depth=   3869 ppm) ... OK  (8s, p_dip=-0.0038, s_dip=-0.0038, oe_amp=0.0002)
  [ 61/500] CONF K00851.01    (depth=   3812 ppm) ... OK  (8s, p_dip=-0.0036, s_dip=-0.0036, oe_amp=0.0005)
  [ 62/500] CONF K00428.01    (depth=   3754 ppm) ... OK  (2s, p_dip=-0.0038, s_dip=-0.0038, oe_amp=0.0001)
